identifier,voice_characteristics,gender,age,accent,speech_rate
IND_Delhi_Female_54_Normal,"54 year old female with smooth, seasoned voice. Indian accent with distinctive stress patterns. Clear, friendly speech at moderate speed with monotone.",Female,54,India,Normal
USA_Los Angeles_Male_21_Fast,"21 year old male with gravelly, fresh voice. West Coast American accent with modern inflections. Clear, enthusiastic speech at quick speed with expressive pitch.",Male,21,Westcoast US,Fast
UK_London_Male_39_Slow,"39 year old male with deep, well-developed voice. British English accent with distinct vowel sounds. Clear, friendly speech at unhurried speed with monotone.",Male,39,England,Slow
USA_Miami_Male_63_Fast,"63 year old male with warm, seasoned voice. Latin American accent with Spanish-influenced rhythm. Clear, confident speech at quick speed with moderate pitch variation.",Male,63,Latin,Fast
IND_Delhi_Male_33_Slow,"33 year old male with strong, mature voice. Indian accent with distinctive stress patterns. Clear, professional speech at unhurried speed with animated pitch.",Male,33,India,Slow
UK_London_Female_30_Slow,"30 year old female with warm, vibrant voice. British English accent with non-rhotic pronunciation. Clear, confident speech at unhurried speed with minimal pitch variation.",Female,30,England,Slow
USA_Miami_Male_41_Normal,"41 year old male with rich, well-developed voice. Latin American accent with syllable-timed pattern. Clear, enthusiastic speech at measured speed with monotone.",Male,41,Latin,Normal
UK_London_Female_18_Normal,"18 year old female with smooth, fresh voice. British English accent with t-glottalization. Clear, calm speech at measured speed with expressive pitch.",Female,18,England,Normal
USA_New York_Female_27_Normal,"27 year old female with warm, confident voice. East Coast American accent with non-rhotic tendencies. Clear, thoughtful speech at conversational speed with expressive pitch.",Female,27,Eastcoast US,Normal
USA_Los Angeles_Male_32_Fast,"32 year old male with tenor, energetic voice. West Coast American accent with California vowel shift. Clear, confident speech at rapid speed with minimal pitch variation.",Male,32,Westcoast US,Fast
USA_New York_Female_33_Normal,"33 year old female with resonant, mature voice. East Coast American accent with distinctive vowel sounds. Clear, confident speech at moderate speed with minimal pitch variation.",Female,33,Eastcoast US,Normal
USA_Los Angeles_Male_48_Normal,"48 year old male with resonant, seasoned voice. West Coast American accent with minimal regional markers. Clear, neutral speech at measured speed with expressive pitch.",Male,48,Westcoast US,Normal
USA_Los Angeles_Male_38_Normal,"38 year old male with rich, well-developed voice. West Coast American accent with California vowel shift. Clear, confident speech at conversational speed with monotone.",Male,38,Westcoast US,Normal
USA_Los Angeles_Male_51_Normal,"51 year old male with rich, seasoned voice. West Coast American accent with modern inflections. Clear, thoughtful speech at moderate speed with moderate pitch variation.",Male,51,Westcoast US,Normal
USA_Dallas_Female_38_Fast,"38 year old female with clear, established voice. Southern American accent with drawled vowels. Clear, thoughtful speech at rapid speed with animated pitch.",Female,38,South US,Fast
USA_Dallas_Female_34_Fast,"34 year old female with melodic, mature voice. Southern American accent with softened consonants. Clear, thoughtful speech at quick speed with expressive pitch.",Female,34,South US,Fast
USA_Los Angeles_Male_40_Normal,"40 year old male with tenor, established voice. West Coast American accent with minimal regional markers. Clear, relaxed speech at measured speed with moderate pitch variation.",Male,40,Westcoast US,Normal
UK_London_Male_38_Normal,"38 year old male with rich, established voice. British English accent with non-rhotic pronunciation. Clear, confident speech at moderate speed with minimal pitch variation.",Male,38,England,Normal
USA_Los Angeles_Male_21_Slow,"21 year old male with warm, vibrant voice. West Coast American accent with modern inflections. Clear, neutral speech at deliberate speed with minimal pitch variation.",Male,21,Westcoast US,Slow
USA_New York_Male_28_Normal,"28 year old male with rich, confident voice. East Coast American accent with distinctive vowel sounds. Clear, relaxed speech at moderate speed with moderate pitch variation.",Male,28,Eastcoast US,Normal
USA_New York_Male_35_Normal,"35 year old male with smooth, confident voice. East Coast American accent with faster rhythm. Clear, neutral speech at conversational speed with animated pitch.",Male,35,Eastcoast US,Normal
IND_Delhi_Female_16_Slow,"16 year old female with soft, vibrant voice. Indian accent with syllable-timed rhythm. Clear, relaxed speech at measured speed with moderate pitch variation.",Female,16,India,Slow
USA_New York_Female_47_Normal,"47 year old female with melodic, seasoned voice. East Coast American accent with strong consonants. Clear, neutral speech at moderate speed with expressive pitch.",Female,47,Eastcoast US,Normal
USA_New York_Female_28_Normal,"28 year old female with smooth, mature voice. East Coast American accent with non-rhotic tendencies. Clear, calm speech at measured speed with minimal pitch variation.",Female,28,Eastcoast US,Normal
USA_Chicago_Male_65_Normal,"65 year old male with strong, seasoned voice. Midwestern American accent with flat 'a' sounds. Clear, enthusiastic speech at moderate speed with moderate pitch variation.",Male,65,Midwest US,Normal
USA_New York_Female_54_Normal_1,"54 year old female with resonant, seasoned voice. East Coast American accent with faster rhythm. Clear, neutral speech at conversational speed with monotone.",Female,54,Eastcoast US,Normal
USA_Los Angeles_Male_31_Fast_1,"31 year old male with husky, vibrant voice. West Coast American accent with modern inflections. Clear, confident speech at swift speed with expressive pitch.",Male,31,Westcoast US,Fast
USA_Los Angeles_Male_47_Slow,"47 year old male with baritone, mature voice. West Coast American accent with relaxed vowels. Clear, friendly speech at unhurried speed with animated pitch.",Male,47,Westcoast US,Slow
UK_London_Male_27_Normal,"27 year old male with rich, vibrant voice. British English accent with t-glottalization. Clear, enthusiastic speech at standard speed with minimal pitch variation.",Male,27,England,Normal
USA_Los Angeles_Female_25_Normal,"25 year old female with clear, energetic voice. West Coast American accent with California vowel shift. Clear, enthusiastic speech at standard speed with moderate pitch variation.",Female,25,Westcoast US,Normal
CA_Montreal_Female_17_Normal,"17 year old female with rich, youthful voice. French accent with nasal vowels. Clear, friendly speech at standard speed with monotone.",Female,17,French,Normal
USA_New York_Female_37_Normal,"37 year old female with alto, mature voice. East Coast American accent with faster rhythm. Clear, friendly speech at measured speed with minimal pitch variation.",Female,37,Eastcoast US,Normal
USA_Los Angeles_Female_25_Slow,"25 year old female with warm, vibrant voice. West Coast American accent with modern inflections. Clear, confident speech at measured speed with expressive pitch.",Female,25,Westcoast US,Slow
USA_Los Angeles_Male_36_Slow,"36 year old male with husky, established voice. West Coast American accent with relaxed vowels. Clear, neutral speech at measured speed with minimal pitch variation.",Male,36,Westcoast US,Slow
USA_Miami_Female_30_Slow,"30 year old female with melodic, energetic voice. Latin American accent with syllable-timed pattern. Clear, professional speech at deliberate speed with moderate pitch variation.",Female,30,Latin,Slow
USA_Miami_Female_30_Fast,"30 year old female with smooth, mature voice. Latin American accent with Spanish-influenced rhythm. Clear, thoughtful speech at rapid speed with monotone.",Female,30,Latin,Fast
USA_New York_Male_16_Normal,"16 year old male with baritone, vibrant voice. East Coast American accent with distinctive vowel sounds. Clear, neutral speech at conversational speed with expressive pitch.",Male,16,Eastcoast US,Normal
USA_Los Angeles_Male_18_Fast,"18 year old male with deep, youthful voice. West Coast American accent with California vowel shift. Clear, friendly speech at swift speed with expressive pitch.",Male,18,Westcoast US,Fast
USA_New York_Female_35_Slow,"35 year old female with bright, established voice. East Coast American accent with distinctive vowel sounds. Clear, enthusiastic speech at deliberate speed with expressive pitch.",Female,35,Eastcoast US,Slow
USA_Los Angeles_Male_18_Normal,"18 year old male with baritone, youthful voice. West Coast American accent with minimal regional markers. Clear, calm speech at measured speed with animated pitch.",Male,18,Westcoast US,Normal
USA_Los Angeles_Female_42_Fast,"42 year old female with soft, well-developed voice. West Coast American accent with modern inflections. Clear, confident speech at rapid speed with expressive pitch.",Female,42,Westcoast US,Fast
USA_Los Angeles_Male_37_Fast,"37 year old male with deep, well-developed voice. West Coast American accent with minimal regional markers. Clear, relaxed speech at brisk speed with moderate pitch variation.",Male,37,Westcoast US,Fast
USA_Los Angeles_Male_15_Normal,"15 year old male with husky, youthful voice. West Coast American accent with modern inflections. Clear, confident speech at measured speed with moderate pitch variation.",Male,15,Westcoast US,Normal
UK_London_Male_43_Slow,"43 year old male with gravelly, confident voice. British English accent with crisp consonants. Clear, friendly speech at measured speed with minimal pitch variation.",Male,43,England,Slow
USA_Miami_Female_52_Slow,"52 year old female with smooth, seasoned voice. Latin American accent with rolled 'r' sounds. Clear, professional speech at measured speed with minimal pitch variation.",Female,52,Latin,Slow
USA_Los Angeles_Female_17_Normal,"17 year old female with resonant, youthful voice. West Coast American accent with minimal regional markers. Clear, friendly speech at conversational speed with minimal pitch variation.",Female,17,Westcoast US,Normal
USA_New York_Male_48_Normal,"48 year old male with gravelly, seasoned voice. East Coast American accent with distinctive vowel sounds. Clear, thoughtful speech at conversational speed with monotone.",Male,48,Eastcoast US,Normal
USA_Los Angeles_Female_49_Normal,"49 year old female with warm, seasoned voice. West Coast American accent with minimal regional markers. Clear, neutral speech at measured speed with animated pitch.",Female,49,Westcoast US,Normal
USA_New York_Male_39_Normal,"39 year old male with smooth, confident voice. East Coast American accent with faster rhythm. Clear, enthusiastic speech at moderate speed with expressive pitch.",Male,39,Eastcoast US,Normal
USA_New York_Male_29_Normal,"29 year old male with warm, energetic voice. East Coast American accent with faster rhythm. Clear, friendly speech at conversational speed with animated pitch.",Male,29,Eastcoast US,Normal
USA_New York_Female_36_Fast,"36 year old female with smooth, established voice. East Coast American accent with distinctive vowel sounds. Clear, calm speech at brisk speed with moderate pitch variation.",Female,36,Eastcoast US,Fast
USA_Miami_Female_39_Normal,"39 year old female with resonant, mature voice. Latin American accent with distinctive vowel stress. Clear, friendly speech at standard speed with animated pitch.",Female,39,Latin,Normal
USA_Dallas_Male_28_Normal,"28 year old male with tenor, energetic voice. Southern American accent with distinctive rhythm. Clear, thoughtful speech at conversational speed with monotone.",Male,28,South US,Normal
UK_London_Female_38_Fast,"38 year old female with rich, established voice. British English accent with non-rhotic pronunciation. Clear, confident speech at quick speed with monotone.",Female,38,England,Fast
USA_Los Angeles_Male_67_Normal,"67 year old male with husky, mature voice. West Coast American accent with California vowel shift. Clear, professional speech at standard speed with minimal pitch variation.",Male,67,Westcoast US,Normal
USA_Chicago_Male_68_Normal,"68 year old male with tenor, weathered voice. Midwestern American accent with clear 'r' pronunciation. Clear, calm speech at measured speed with minimal pitch variation.",Male,68,Midwest US,Normal
USA_Miami_Female_34_Normal,"34 year old female with resonant, confident voice. Latin American accent with syllable-timed pattern. Clear, enthusiastic speech at measured speed with animated pitch.",Female,34,Latin,Normal
USA_New York_Male_72_Fast,"72 year old male with rich, mature voice. East Coast American accent with non-rhotic tendencies. Clear, thoughtful speech at rapid speed with moderate pitch variation.",Male,72,Eastcoast US,Fast
USA_New York_Male_28_Normal_1,"28 year old male with smooth, confident voice. East Coast American accent with distinctive vowel sounds. Clear, confident speech at moderate speed with moderate pitch variation.",Male,28,Eastcoast US,Normal
IND_Delhi_Female_52_Normal,"52 year old female with soprano, self-assured voice. Indian accent with unique intonation. Clear, relaxed speech at standard speed with moderate pitch variation.",Female,52,India,Normal
USA_Los Angeles_Female_31_Normal,"31 year old female with resonant, confident voice. West Coast American accent with modern inflections. Clear, thoughtful speech at measured speed with monotone.",Female,31,Westcoast US,Normal
UK_London_Male_16_Normal,"16 year old male with rich, energetic voice. British English accent with t-glottalization. Clear, friendly speech at conversational speed with moderate pitch variation.",Male,16,England,Normal
USA_Los Angeles_Female_63_Slow,"63 year old female with warm, seasoned voice. West Coast American accent with minimal regional markers. Clear, relaxed speech at deliberate speed with minimal pitch variation.",Female,63,Westcoast US,Slow
USA_New York_Female_40_Normal,"40 year old female with clear, mature voice. East Coast American accent with distinctive vowel sounds. Clear, professional speech at measured speed with monotone.",Female,40,Eastcoast US,Normal
USA_Los Angeles_Female_25_Normal_1,"25 year old female with bright, vibrant voice. West Coast American accent with modern inflections. Clear, thoughtful speech at moderate speed with moderate pitch variation.",Female,25,Westcoast US,Normal
USA_New York_Female_36_Normal,"36 year old female with soft, established voice. East Coast American accent with non-rhotic tendencies. Clear, professional speech at conversational speed with monotone.",Female,36,Eastcoast US,Normal
USA_Los Angeles_Female_52_Slow,"52 year old female with bright, seasoned voice. West Coast American accent with modern inflections. Clear, thoughtful speech at leisurely speed with animated pitch.",Female,52,Westcoast US,Slow
USA_Los Angeles_Male_48_Normal_1,"48 year old male with deep, self-assured voice. West Coast American accent with California vowel shift. Clear, professional speech at conversational speed with expressive pitch.",Male,48,Westcoast US,Normal
USA_Los Angeles_Female_33_Normal,"33 year old female with rich, confident voice. West Coast American accent with relaxed vowels. Clear, confident speech at conversational speed with expressive pitch.",Female,33,Westcoast US,Normal
USA_Miami_Female_38_Slow,"38 year old female with soft, well-developed voice. Latin American accent with rolled 'r' sounds. Clear, professional speech at leisurely speed with animated pitch.",Female,38,Latin,Slow
USA_Los Angeles_Female_58_Normal,"58 year old female with resonant, refined voice. West Coast American accent with modern inflections. Clear, neutral speech at moderate speed with animated pitch.",Female,58,Westcoast US,Normal
USA_Los Angeles_Female_61_Normal,"61 year old female with alto, refined voice. West Coast American accent with modern inflections. Clear, relaxed speech at standard speed with moderate pitch variation.",Female,61,Westcoast US,Normal
USA_New York_Female_32_Normal,"32 year old female with clear, energetic voice. East Coast American accent with strong consonants. Clear, confident speech at standard speed with animated pitch.",Female,32,Eastcoast US,Normal
USA_Los Angeles_Female_48_Normal,"48 year old female with warm, seasoned voice. West Coast American accent with relaxed vowels. Clear, thoughtful speech at conversational speed with expressive pitch.",Female,48,Westcoast US,Normal
USA_New York_Male_72_Normal,"72 year old male with warm, mature voice. East Coast American accent with non-rhotic tendencies. Clear, neutral speech at moderate speed with expressive pitch.",Male,72,Eastcoast US,Normal
USA_New York_Female_38_Normal,"38 year old female with melodic, mature voice. East Coast American accent with distinctive vowel sounds. Clear, confident speech at measured speed with moderate pitch variation.",Female,38,Eastcoast US,Normal
USA_Los Angeles_Female_49_Normal_1,"49 year old female with alto, experienced voice. West Coast American accent with minimal regional markers. Clear, relaxed speech at conversational speed with minimal pitch variation.",Female,49,Westcoast US,Normal
USA_Miami_Male_44_Normal,"44 year old male with gravelly, mature voice. Latin American accent with distinctive vowel stress. Clear, calm speech at measured speed with monotone.",Male,44,Latin,Normal
USA_Miami_Female_43_Normal,"43 year old female with soprano, established voice. Latin American accent with rolled 'r' sounds. Clear, neutral speech at conversational speed with expressive pitch.",Female,43,Latin,Normal
USA_Los Angeles_Male_25_Slow,"25 year old male with resonant, energetic voice. West Coast American accent with relaxed vowels. Clear, confident speech at unhurried speed with minimal pitch variation.",Male,25,Westcoast US,Slow
USA_Los Angeles_Female_64_Normal,"64 year old female with clear, refined voice. West Coast American accent with relaxed vowels. Clear, thoughtful speech at standard speed with expressive pitch.",Female,64,Westcoast US,Normal
IND_Delhi_Male_39_Slow,"39 year old male with smooth, established voice. Indian accent with unique intonation. Clear, relaxed speech at measured speed with minimal pitch variation.",Male,39,India,Slow
USA_New York_Male_60_Normal,"60 year old male with baritone, seasoned voice. East Coast American accent with strong consonants. Clear, thoughtful speech at conversational speed with moderate pitch variation.",Male,60,Eastcoast US,Normal
CA_Montreal_Female_24_Slow,"24 year old female with soft, vibrant voice. French accent with even stress pattern. Clear, friendly speech at unhurried speed with expressive pitch.",Female,24,French,Slow
USA_Los Angeles_Female_40_Fast,"40 year old female with rich, established voice. West Coast American accent with relaxed vowels. Clear, confident speech at swift speed with animated pitch.",Female,40,Westcoast US,Fast
USA_New York_Male_59_Normal,"59 year old male with rich, experienced voice. East Coast American accent with faster rhythm. Clear, professional speech at measured speed with moderate pitch variation.",Male,59,Eastcoast US,Normal
USA_Chicago_Male_44_Normal,"44 year old male with husky, confident voice. Midwestern American accent with flat 'a' sounds. Clear, professional speech at moderate speed with expressive pitch.",Male,44,Midwest US,Normal
USA_Chicago_Male_23_Normal,"23 year old male with resonant, fresh voice. Midwestern American accent with clear 'r' pronunciation. Clear, confident speech at measured speed with animated pitch.",Male,23,Midwest US,Normal
USA_Los Angeles_Male_18_Normal_1,"18 year old male with rich, youthful voice. West Coast American accent with California vowel shift. Clear, relaxed speech at standard speed with minimal pitch variation.",Male,18,Westcoast US,Normal
UK_London_Female_56_Normal,"56 year old female with soft, seasoned voice. British English accent with distinct vowel sounds. Clear, confident speech at conversational speed with expressive pitch.",Female,56,England,Normal
USA_New York_Female_24_Normal,"24 year old female with soft, fresh voice. East Coast American accent with faster rhythm. Clear, professional speech at standard speed with expressive pitch.",Female,24,Eastcoast US,Normal
USA_Chicago_Male_26_Normal,"26 year old male with husky, vibrant voice. Midwestern American accent with nasal qualities. Clear, confident speech at standard speed with minimal pitch variation.",Male,26,Midwest US,Normal
USA_Los Angeles_Male_61_Normal,"61 year old male with warm, mature voice. West Coast American accent with minimal regional markers. Clear, calm speech at conversational speed with moderate pitch variation.",Male,61,Westcoast US,Normal
CA_Montreal_Female_26_Normal,"26 year old female with resonant, vibrant voice. French accent with uvular 'r' sound. Clear, friendly speech at standard speed with minimal pitch variation.",Female,26,French,Normal
USA_Los Angeles_Male_16_Normal,"16 year old male with gravelly, youthful voice. West Coast American accent with minimal regional markers. Clear, calm speech at measured speed with expressive pitch.",Male,16,Westcoast US,Normal
USA_New York_Female_24_Normal_1,"24 year old female with melodic, energetic voice. East Coast American accent with strong consonants. Clear, neutral speech at measured speed with monotone.",Female,24,Eastcoast US,Normal
AUS_Sydney_Male_17_Normal,"17 year old male with resonant, energetic voice. Australian accent with distinctive diphthongs. Clear, neutral speech at conversational speed with monotone.",Male,17,Australia,Normal
USA_Los Angeles_Female_22_Slow,"22 year old female with rich, youthful voice. West Coast American accent with modern inflections. Clear, professional speech at measured speed with moderate pitch variation.",Female,22,Westcoast US,Slow
USA_Miami_Male_53_Normal,"53 year old male with resonant, self-assured voice. Latin American accent with Spanish-influenced rhythm. Clear, enthusiastic speech at moderate speed with animated pitch.",Male,53,Latin,Normal
CA_Montreal_Male_53_Slow,"53 year old male with baritone, mature voice. French accent with uvular 'r' sound. Clear, calm speech at unhurried speed with monotone.",Male,53,French,Slow
USA_Chicago_Female_38_Normal,"38 year old female with soprano, well-developed voice. Midwestern American accent with clear 'r' pronunciation. Clear, thoughtful speech at conversational speed with monotone.",Female,38,Midwest US,Normal
USA_New York_Female_24_Normal_2,"24 year old female with rich, fresh voice. East Coast American accent with non-rhotic tendencies. Clear, friendly speech at standard speed with monotone.",Female,24,Eastcoast US,Normal
USA_New York_Male_51_Fast,"51 year old male with strong, experienced voice. East Coast American accent with non-rhotic tendencies. Clear, enthusiastic speech at swift speed with moderate pitch variation.",Male,51,Eastcoast US,Fast
USA_Dallas_Female_33_Normal,"33 year old female with alto, mature voice. Southern American accent with drawled vowels. Clear, confident speech at measured speed with moderate pitch variation.",Female,33,South US,Normal
USA_Los Angeles_Male_21_Normal_1,"21 year old male with smooth, fresh voice. West Coast American accent with relaxed vowels. Clear, relaxed speech at standard speed with monotone.",Male,21,Westcoast US,Normal
UK_London_Female_46_Normal,"46 year old female with bright, self-assured voice. British English accent with t-glottalization. Clear, friendly speech at moderate speed with expressive pitch.",Female,46,England,Normal
USA_Los Angeles_Male_59_Normal,"59 year old male with husky, refined voice. West Coast American accent with California vowel shift. Clear, confident speech at measured speed with animated pitch.",Male,59,Westcoast US,Normal
CA_Montreal_Female_43_Normal,"43 year old female with warm, mature voice. French accent with even stress pattern. Clear, calm speech at measured speed with minimal pitch variation.",Female,43,French,Normal
USA_Dallas_Female_54_Normal,"54 year old female with resonant, seasoned voice. Southern American accent with melodic intonation. Clear, friendly speech at conversational speed with animated pitch.",Female,54,South US,Normal
USA_Los Angeles_Female_37_Normal,"37 year old female with soft, established voice. West Coast American accent with relaxed vowels. Clear, friendly speech at conversational speed with monotone.",Female,37,Westcoast US,Normal
USA_Los Angeles_Male_58_Normal,"58 year old male with strong, seasoned voice. West Coast American accent with relaxed vowels. Clear, neutral speech at standard speed with animated pitch.",Male,58,Westcoast US,Normal
USA_Los Angeles_Female_44_Slow,"44 year old female with soprano, mature voice. West Coast American accent with relaxed vowels. Clear, confident speech at measured speed with monotone.",Female,44,Westcoast US,Slow
USA_New York_Male_36_Fast,"36 year old male with baritone, established voice. East Coast American accent with distinctive vowel sounds. Clear, relaxed speech at swift speed with monotone.",Male,36,Eastcoast US,Fast
USA_Los Angeles_Male_38_Normal_1,"38 year old male with strong, mature voice. West Coast American accent with minimal regional markers. Clear, thoughtful speech at conversational speed with animated pitch.",Male,38,Westcoast US,Normal
USA_Los Angeles_Female_18_Slow,"18 year old female with soft, youthful voice. West Coast American accent with minimal regional markers. Clear, professional speech at deliberate speed with expressive pitch.",Female,18,Westcoast US,Slow
IND_Delhi_Male_32_Normal,"32 year old male with smooth, confident voice. Indian accent with unique intonation. Clear, relaxed speech at moderate speed with expressive pitch.",Male,32,India,Normal
USA_New York_Male_32_Slow,"32 year old male with resonant, energetic voice. East Coast American accent with strong consonants. Clear, professional speech at unhurried speed with expressive pitch.",Male,32,Eastcoast US,Slow
USA_New York_Female_36_Normal_1,"36 year old female with smooth, established voice. East Coast American accent with non-rhotic tendencies. Clear, neutral speech at conversational speed with monotone.",Female,36,Eastcoast US,Normal
USA_New York_Male_20_Normal,"20 year old male with tenor, fresh voice. East Coast American accent with non-rhotic tendencies. Clear, professional speech at conversational speed with monotone.",Male,20,Eastcoast US,Normal
USA_Miami_Male_39_Slow,"39 year old male with tenor, well-developed voice. Latin American accent with syllable-timed pattern. Clear, friendly speech at measured speed with monotone.",Male,39,Latin,Slow
USA_Los Angeles_Female_29_Normal,"29 year old female with rich, vibrant voice. West Coast American accent with minimal regional markers. Clear, enthusiastic speech at measured speed with minimal pitch variation.",Female,29,Westcoast US,Normal
USA_Dallas_Female_74_Normal,"74 year old female with smooth, seasoned voice. Southern American accent with softened consonants. Clear, neutral speech at moderate speed with monotone.",Female,74,South US,Normal
USA_New York_Female_37_Fast,"37 year old female with soprano, well-developed voice. East Coast American accent with faster rhythm. Clear, relaxed speech at brisk speed with minimal pitch variation.",Female,37,Eastcoast US,Fast
USA_New York_Female_29_Normal,"29 year old female with smooth, confident voice. East Coast American accent with distinctive vowel sounds. Clear, friendly speech at conversational speed with animated pitch.",Female,29,Eastcoast US,Normal
USA_New York_Male_22_Slow,"22 year old male with rich, vibrant voice. East Coast American accent with non-rhotic tendencies. Clear, calm speech at deliberate speed with animated pitch.",Male,22,Eastcoast US,Slow
USA_Miami_Male_42_Normal,"42 year old male with husky, confident voice. Latin American accent with distinctive vowel stress. Clear, thoughtful speech at moderate speed with expressive pitch.",Male,42,Latin,Normal
USA_Dallas_Male_80_Normal,"80 year old male with husky, seasoned voice. Southern American accent with melodic intonation. Clear, relaxed speech at conversational speed with moderate pitch variation.",Male,80,South US,Normal
USA_Miami_Female_39_Normal_1,"39 year old female with clear, confident voice. Latin American accent with rolled 'r' sounds. Clear, thoughtful speech at measured speed with animated pitch.",Female,39,Latin,Normal
USA_New York_Female_34_Normal,"34 year old female with resonant, confident voice. East Coast American accent with faster rhythm. Clear, thoughtful speech at moderate speed with moderate pitch variation.",Female,34,Eastcoast US,Normal
IND_Delhi_Male_48_Normal,"48 year old male with rich, experienced voice. Indian accent with retroflex consonants. Clear, thoughtful speech at conversational speed with animated pitch.",Male,48,India,Normal
CA_Montreal_Male_39_Fast,"39 year old male with baritone, established voice. French accent with distinct liaison. Clear, professional speech at rapid speed with minimal pitch variation.",Male,39,French,Fast
USA_Los Angeles_Female_19_Normal,"19 year old female with melodic, vibrant voice. West Coast American accent with modern inflections. Clear, calm speech at moderate speed with animated pitch.",Female,19,Westcoast US,Normal
USA_Miami_Male_31_Fast,"31 year old male with husky, confident voice. Latin American accent with distinctive vowel stress. Clear, professional speech at rapid speed with monotone.",Male,31,Latin,Fast
USA_New York_Male_46_Normal,"46 year old male with warm, self-assured voice. East Coast American accent with non-rhotic tendencies. Clear, thoughtful speech at moderate speed with expressive pitch.",Male,46,Eastcoast US,Normal
USA_Miami_Female_48_Normal,"48 year old female with bright, seasoned voice. Latin American accent with Spanish-influenced rhythm. Clear, friendly speech at conversational speed with moderate pitch variation.",Female,48,Latin,Normal
USA_Los Angeles_Male_41_Normal,"41 year old male with resonant, confident voice. West Coast American accent with relaxed vowels. Clear, relaxed speech at moderate speed with moderate pitch variation.",Male,41,Westcoast US,Normal
USA_Los Angeles_Male_32_Normal,"32 year old male with gravelly, energetic voice. West Coast American accent with modern inflections. Clear, neutral speech at standard speed with expressive pitch.",Male,32,Westcoast US,Normal
USA_Los Angeles_Female_18_Slow_1,"18 year old female with alto, fresh voice. West Coast American accent with California vowel shift. Clear, confident speech at deliberate speed with monotone.",Female,18,Westcoast US,Slow
USA_New York_Male_33_Normal,"33 year old male with baritone, confident voice. East Coast American accent with strong consonants. Clear, enthusiastic speech at measured speed with monotone.",Male,33,Eastcoast US,Normal
